1743981018163, in 19967, out 6776
1743981023165, in 20245, out 6992
1743981028166, in 20245, out 6992
1743981033167, in 20523, out 7108
1743981038168, in 20523, out 7108
1743981043168, in 20801, out 7224
1743981156842, in 0, out 0
1743981161844, in 0, out 0
1743981166846, in 0, out 0
1743981171846, in 0, out 0
1743981176850, in 0, out 0
1743981189212, in 0, out 0
1743981194212, in 0, out 0
1743981199214, in 0, out 0
1743981204215, in 0, out 0
1743981209216, in 0, out 0
